64,일산칼국수,"서울특별시 종로구 삼일대로15길 6, 1층 (관철동)",한식,,
65,일식 오수사,"서울특별시 종로구 사직로 130 (적선동,적선현대 지하1층 6호)",일식,,
66,일품당샤브샤브,"서울특별시 종로구 세종대로23길 25, 1,2층 (당주동)",한식,,
67,전주골갈비,서울특별시 종로구 돈화문로5가길 15 (돈의동),한식,,
68,정선곤드레쌈밥,"서울특별시 종로구 평창문화로 152, 101,102,103호 (평창동, 평창동 안성타워)",한식,,
69,조마루(신설동점),서울특별시 종로구 난계로29길 37 (숭인동),한식,,
70,종로낙원 닭국수,"서울특별시 종로구 수표로 118, 1층 (낙원동)",경양식,,
71,종로진낙지,"서울특별시 종로구 수표로 122, 1,2층 (낙원동)",한식,,
72,진고기명가,서울특별시 종로구 사직로 103-4 (내자동),기타,,
73,채선당 동묘역점,"서울특별시 종로구 종로 347, 지하1층 113~138호 (숭인동, 롯데캐슬상가)",기타,,
74,처마끝 하늘풍경,"서울특별시 종로구 인사동14길 24-2, 1층 (관훈동)",한식,,
75,청진꼼장어,"서울특별시 종로구 종로5길 42-5, 1-2층 (청진동)",한식,,
76,청진옥,"서울특별시 종로구 종로3길 32, 1~4층 (청진동)",한식,,
77,태진복집,"서울특별시 종로구 자하문로10길 10-24, 지상1,2층 (통의동)",복어취급,,
78,페르시아궁전,"서울특별시 종로구 성균관로6길 9, 지하1,지상1층 (명륜2가)",기타,,
79,평가옥,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 8,12,13,14호 (당주동)",한식,,
80,평창동 북악정,"서울특별시 종로구 평창36길 6, 지하,지상1,2층 (평창동)",한식,,
81,풍천손가네민물장어,"서울특별시 종로구 종로51가길 2-1, 1층 (창신동)",한식,,
82,하나로회관,서울특별시 종로구 인사동5길 25 (인사동),한식,,
83,하누소,서울특별시 종로구 삼일대로 428 (낙원동),한식,,
84,한라의 집,서울특별시 종로구 새문안로9길 29-1 (당주동),일식,,
85,한옥,"서울특별시 종로구 통일로14길 24 (무악동,1층)",한식,,
86,한일옥,"서울특별시 종로구 수표로 94 (관수동, 지하1층~지상1층)",한식,,
87,할머니두부집,서울특별시 종로구 진흥로 439 (구기동),한식,,
88,함흥곰보냉면,"서울특별시 종로구 창경궁로 109, 401,405호 (인의동)",한식,,
89,향가,서울특별시 종로구 계동길 19-6 (재동),한식,,
90,향나무세구루,서울특별시 종로구 삼청로 100 (삼청동),한식,,
